Quote,Author
"
      “You have delighted us long enough.”
  ",Jane Austen
"
      “When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.”
  ",Jane Austen
"
      “One cannot creep upon a journey; one cannot help getting on faster than one has planned: and the pleasure of coming in upon one's friends before the look-out begins is worth a great deal more than any little exertion it needs.”
  ",Jane Austen
"
      “Ms. Bennett, do you know who I am? I am not accustomed to being spoken to in such a manner.”
  ",Jane Austen
"
      “¡Qué agradable es pasar así una velada! Declaro que no hay placer como la lectura. ¡Cuánto más pronto cansa cualquier otra cosa que un libro! Cuando tenga casa propia me creeré desgraciada si no poseo una excelente biblioteca.”
  ",Jane Austen
"
      “orgullo está relacionado con la opinión que tenemos de nosotros mismos; la vanidad, con lo que quisiéramos que los demás pensaran de nosotros.”
  ",Jane Austen
"
      “It was foolish, it was wrong, to take so active a part in bringing any two people together.”
  ",Jane Austen
"
      “Her form, though not so correct as her sister's, in having the advantage of height, was more striking; and her face was so lovely, that when in the common cant of praise she was called a beautiful girl, truth was less violently outraged than usually happens.”
  ",Jane Austen
"
      “Darcy: 'I certainly have not the talent which some people possess, of conversing easily with those I have never seen before. I cannot catch their tone of conversation, or appear interested in their concerns, as I often see done.'",Jane Austen
"
      “She had nothing to wish otherwise, but that the days did not pass so swiftly. It was a delightful visit;—perfect, in being much too short.”
  ",Jane Austen
"
      “Don't keep coughing so, Kitty, for Heaven's sake! Have a little compassion on my nerves. You tear them to pieces.”
  ",Jane Austen
"
      “You see, I am a very prosaic, unromantic, sensible sort of fellow myself; and I have always had my heart set on finding the most sensible, prudent, level-headed wife in the world. But, on the other hand, it is very important to me that she possess one very particular flaw: she must have no sense whatsoever where I myself am concerned. She would only have to take one look at me and - no matter what her steadiness of mind - she would lose it in the space of seconds... Just lately, I have sometimes thought I may have found what I have always wanted. But just lately I have also noticed she has developed a most irritating habit of looking at the ground whenever we are together. Do you think she could try to overcome it? Well, Charlotte, ",Jane Austen
"
      “They have none of them much to recommend them"", replied he: ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters."" ""Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion on my poor nerves."" ""You mistake me my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these twenty years at least.”
  ",Jane Austen
"
      “Marianne would have thought herself very inexcusable had she been able to sleep at all the first night after parting from Willoughby. She would have been ashamed to look her family in the face the next morning, had she not risen from her bed in more need of repose than when she lay down in it. But the feelings which made such composure a disgrace, left her in no danger of incurring it. She was awake the whole night, and she wept the greatest part of it. She got up with an head-ache, was unable to talk, and unwilling to take any nourishment; giving pain every moment to her mother and sisters, and forbidding all attempt at consolation from either. Her sensibility was potent enough!”
  ",Jane Austen
"
      “Till it does come, you know, we women never mean to have anybody. It is a thing of course among us, that every man is refused, till he offers.”
  ",Jane Austen
"
      “Why is he so altered? From what can it proceed? It cannot be for my sake that his manners are thus softened... It is impossible that he should still love me.”
  ",Jane Austen
"
      “Never did I see such an affecting Scene as was the meeting of Edward and Augustus.",Jane Austen
"
      “Every body has their taste in noises as well as other matters; and sounds are quite innoxious, or most distressing, by their sort rather than their quantity.”
  ",Jane Austen
"
      “A scheme of which every part promises delight, can never be successful; and general disappointment is only warded off by the defence of some little peculiar vexation.”
  ",Jane Austen
"
      “She talked to her, listened to her, read to her; and the tranquillity of such evenings, her perfect security in such a tête-à-tête from any sound of unkindness, was unspeakably welcome to a mind which had seldom known a pause in its alarms or embarrassments.”
  ",Jane Austen
"
      “Heavens! let me not suppose that she dares go about Emma Woodhouse-ing me! But, upon my honour, there seems no limits to the licentiousness of that woman's tongue!”
  ",Jane Austen
"
      “A watch is always too fast or too slow. I cannot be dictated to by a watch.”
  ",Jane Austen
"
      “It is singularity which often makes the worst part of our suffering, as it always does of our conduct.”
  ",Jane Austen
"
      “Mr. Darcy said very little, and Mr. Hurst nothing at all. The former was divided between admiration of the brilliancy which exercise had given to her complexion, and doubt as to the occasion's justifying her coming so far alone. The latter was thinking only of his breakfast.”
  ",Jane Austen
"
      “A man would always wish to give a woman a better home than the one he takes her from; and he who can do it, where there is no doubt of her regard, must, I think, be the happiest of mortals.”
  ",Jane Austen
"
      “But your good opinion is rarely bestowed and therefore more worth the earning.”
  ",Jane Austen
"
      “I cannot think well of a man who sports with any woman's feelings; and there may often be a great deal more suffered than a stander-by can judge.”
  ",Jane Austen
"
      “Edward Ferrars was not recommended to their good opinion by any peculiar graces of person or address. He was not handsome, and his manners required intimacy to make them pleasing. He was too diffident to do justice to himself; but when his natural shyness was overcome, his behaviour gave every indication of an open, affectionate heart.”
  ",Jane Austen
"
      “one day in the country is exactly like another.”
  ",Jane Austen
"
      “my idea of good company.. is the company of clever, well-informed people. who have a great deal of conversation.”
  ",Jane Austen
"
      “She is a selfish, hypocritical woman, and I have no opinion of her.”
  ",Jane Austen
"
      “They went to the sands, to watch the flowing of the tide, which a fine south-easterly breeze was bringing in all the grandeur which so flat a shore admitted. They praised the morning; gloried in the sea; sympathized in the delight of the fresh-feeling breeze- and were silent...”
  ",Jane Austen
"
      “The hair was curled, and the maid sent away, and Emma sat down to think and be miserable.”
  ",Jane Austen
"
      “-Stupid men are the only ones worth knowing, after all.",Jane Austen
"
      “Ambos somos insociables, taciturnos, enemigos de hablar a menos que esperemos decir algo que deje boquiabierto a quien escucha y pase a la posteridad con el brillo de un proverbio"" - Lizzy Bennet.”
  ",Jane Austen
"
      “She was the youngest of the two daughters of a most affectionate, indulgent father; and had, in consequence of her sister's marriage, been mistress of his house from a very early period. Her mother had died too long ago for her to have more than an indistinct remembrance of her caresses; and her place had been supplied by an excellent woman as governess, who had fallen little short of a mother in affection.”
  ",Jane Austen
"
      “You must allow me to tell you how ardently I admire and love you.”
  ",Jane Austen
"
      “I have never yet found that the advice of a Sister could prevent a young Man's being in love if he chose it.”
  ",Jane Austen
"
      “...joy, senseless joy!”
  ",Jane Austen
"
      “I fancy Miss Price has been more used to deserve praise than to hear it…”
  ",Jane Austen
"
      “It does not come to me in quite so direct a line as that; it takes a bend or two, but nothing of consequence. The stream is as good as at first; the little rubbish it collects in the turnings is easily moved away.”
  ",Jane Austen
"
      “Indeed how can one care for those one has never seen?”
  ",Jane Austen
"
      “I do not dislike him. I consider him, on the contrary, as a very respectable man, who has everybody's good word and nobody's notice…”
  ",Jane Austen
"
      “Pride,’ observed Mary, who piqued herself upon the solidity of her reflections, ‘is a very common failing, I believe. By all that I have ever read, I am convinced that it is very common indeed; that human nature is particularly prone to it, and that there are very few of us who do not cherish a feeling of self-complacency on the score of some quality or other, real or imaginary.”
  ",Jane Austen
"
      “And what am I to do on the occasion? -- It seems an hopeless business.”
  ",Jane Austen
"
      “What did she say? Just what she ought, of course. A lady always does”
  ",Jane Austen
"
      “I admire all my three sons-in-law highly. Wickham, perhaps is my favourite; but I think I shall like your husband quite as well as Jane's.”
  ",Jane Austen
"
      “La vanidad y el orgullo son cosas distintas, aunque muchas veces se usen como sinónimos. El orgullo está relacionado con la opinión que tenemos de nosotros mismos; la vanidad, con lo que quisiéramos que los demás pensaran de nosotros.”
  ",Jane Austen
"
      “You have bewitched me, body and soul, and I love you”
  ",Jane Austen
"
      “I have observed, Mrs Elton, in the course of my life, that if things are going outwardly one month, they are sure to mend the next.”
  ",Jane Austen
"
      “Our time was most delightfully spent, in mutual Protestations of Freindship, and in vows of unalterable Love, in which we were secure from being interrupted, by intruding and disagreeable Visistors, as Augustus and Sophia had on their first Entrance in the Neighbourhood, taken due care to inform the surrounding Families, that as their happiness centered wholly in themselves, they wished for no other society.”
  ",Jane Austen
"
      “Miss Bingley's congratulations to her brother, on his approaching marriage, were all that was affectionate and insincere.”
  ",Jane Austen
"
      “There is hardly any personal defect which an agreeable manner might not gradually reconcile one to.”
  ",Jane Austen
"
      “Marianne would have thought herself very inexcusable had she been able to sleep at all the first night after parting from Willoughby. She would have been ashamed to look her family in the face next morning, had she not risen from her bed in more need of repose than when she lay down in it.”
  ",Jane Austen
"
      “Oh hang kitty; what has she to do with it? Come, be quick. Be quick. Where is your sash?”
  ",Jane Austen
"
      “I shall be glad to have the library to myself as soon as may be.”
  ",Jane Austen
"
      “There is something agreeable in feelings so easily worked on; not that I envy him their possession, nor would, for the world, have such myself; but they are very convenient when one wishes to influence the passions of another.”
  ",Jane Austen
"
      “Meditaba sobre el inmenso placer que pueden producir dos ojos bonitos en el rostro de una mujer bonita”
  ",Jane Austen
"
      “Muchas veces, los hechos hablan tan claramente que no precisan palabras.”
  ",Jane Austen
"
      “Completely and perfectly and incandescently happy...”
  ",Jane Austen
"
      “Come Darcy,' said he. 'I must have you dance. I hate to see you standing around by yourself in this stupid manner.”
  ",Jane Austen
"
      “On every formal visit a child ought to be of the party, by way of provision for discourse.”
  ",Jane Austen
"
      “I cannot express my own abhorrence of myself. Whenever I looked towards the past, I saw some duty neglected, or some failing indulged. Every body seemed injured by me. The kindness, the unceasing kindness of Mrs. Jennings, I had repaid with ungrateful contempt. To the Middletons, to the Palmers, the Steeles, to every common acquaintance even, I had been insolent and unjust; with a heart hardened against their merits, and a temper irritated by their very attention. To John, to Fanny, — yes, even to them, little as they deserve, I had given less than their due. But you, you above all, above my mother, had been wronged by me. I, and only I, knew your heart and its sorrows; yet to what did it influence me? Not to any compassion that could benefit you or myself. Your example was before me; but to what avail? Was I more considerate of you and your comfort? Did I imitate your forbearance, or lessen your restraints, by taking any part in those offices of general complaisance or particular gratitude which you had hitherto been left to discharge alone?”
  ",Jane Austen
"
      “it is a tragedy and therefore not worth reading...”
  ",Jane Austen
"
      “We must not be so ready to fancy ourselves intentionally injured... It is very often nothing but our own vanity that deceives us.”
  ",Jane Austen
"
      “acquaintance”
  ",Jane Austen
"
      “Mrs. Norris hitched a breath and went on again.”
  ",Jane Austen
"
      “It is a most repulsive quality, indeed,’ said he. ‘Oftentimes very convenient, no doubt, but never pleasing. There is safety in reserve, but no attraction. One cannot love a reserved person.’",Jane Austen
"
      “You ought certainly to forgive them as a Christian, but never to admit them in your sight, or allow their names to be mentioned in your hearing.”
  ",Jane Austen
"
      “If I am wrong, I am doing what I believe to the right.”
  ",Jane Austen
"
      “A person, be it a man or a woman, who has not been exposed to the great wonders of literature, must be intolerably stupid.”
  ",Jane Austen
"
      “Whatever bears affinity to cunning is despicable.”
  ",Jane Austen
"
      “I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book!”
  ",Jane Austen
"
      “The sooner every party breaks up, the better.”
  ",Jane Austen
"
      “You do not make allowance enough for difference of situation and temper.”
  ",Jane Austen
"
      “Letters are no matter of indifference; they are generally a very positive curse.”
  ",Jane Austen
"
      “I do not know whether it ought to be so, but certain silly things cease to be silly if done by sensible people in an imprudent way.”
  ",Jane Austen
"
      “it is often nothing but our own vanity that decieves us”
  ",Jane Austen
"
      “Even pleasure, you know, is fatiguing…”
  ",Jane Austen
"
      “She is tolerable; but not handsome enough to tempt me; I am in no humour at present to give consequence to young ladies who are slighted by other men.”
  ",Jane Austen
"
      “Deceived in Freindship and Betrayed in Love”
  ",Jane Austen
"
      “Let those who want to be happy ... be firm”
  ",Jane Austen
"
      “If I am missed it will appear. I may be discovered by those who want to see me. I shall not be in any doubtful, or distant, or unapproachable region.”
  ",Jane Austen
"
      “You are mistaken, Mr Darcy, if you suppose that the mode of your declaration affected me in any other way, than as it spared me the concern which I might have felt in refusing you, had you behaved in a more gentleman-like manner.""",Jane Austen
"
      “The I examined my own heart. And there you were. Never, I fear, to be removed.”
  ",Jane Austen
"
      “If I was wrong in yielding to persuasion once, remember that it was to persuasion exerted on the side of safety, not of risk”
  ",Jane Austen
"
      “There is a stubbornness about me that never can bear to be frightened at the will of others.”
  ",Jane Austen
"
      “Mr. Wickham was the happy man towards whom almost every female eye was turned, and Elizabeth was the happy woman by whom he finally seated himself”
  ",Jane Austen
"
      “Where people wish to attach, they should always be ignorant. To come with a well−informed mind is to come with an inability of administering to the vanity of others, which a sensible person would always wish to avoid.”
  ",Jane Austen
"
      “Reluctantly, and with much hesitation, did she then begin what might perhaps, at the end of half an hour, be termed, by the courtesy of her hearers, an explanation;”
  ",Jane Austen
"
      “To walk three miles, or four miles, or five miles, or whatever it is, above her ankles in dirt, and alone, quite alone! What could she mean by it? It seems to me to show an abominable sort of conceited independence, a most country-town indifference to decorum.”
  ",Jane Austen
"
      “…—We have not all, you know, the same tenderness of disposition…”
  ",Jane Austen
"
      “She began to curl her hair and long for balls”
  ",Jane Austen
"
      “When a heroine is satisfied that she has exercised judgement with clear vision, moral principle,and common sense, she need not acquiesce to opposing viewpoints.”
  ",Jane Austen
"
      “You feel, as you always do, what is most to the credit of human nature.  —Such feelings ought to be investigated, that they may know themselves.”
  ",Jane Austen
"
      “What a revolution in her ideas!”
  ",Jane Austen
"
      “The distance is nothing, when one has a motive.”
  ",Jane Austen
"
      “Mrs. Palmer, in her way, was equally angry. She was determined to drop his acquaintance immediately, and she was very thankful that she had never been acquainted with him at all. She wished with all her heart Combe Magna was not so near Cleveland; but it did not signify, for it was a great deal too far off to visit; she hated him so much that she was resolved never to mention his name again, and she should tell everybody she saw, how good-for-nothing he was.”
  ",Jane Austen
"
      “Alas! with all her reasoning, she found, that to retentive feelings eight years may be little more than nothing.”
  ",Jane Austen
"
      “To wish was to hope, and to hope was to expect.”
  ",Jane Austen
"
      “I perfectly agree with you, sir,' was then his remark. 'You did behave very shamefully. You never wrote a truer line.”
  ",Jane Austen
"
      “The promised notification was hanging over her head. The postman's knock within the neighbourhood was beginning to bring its daily terrors -and if reading could banish the idea for even half an hour, it was something gained.”
  ",Jane Austen
"
      “Without any display of doing more than the rest, or any fear of doing too much, he was always true to her interests and considerate of her feelings, trying to make her good qualities understood, and to conquer the diffidence which prevented them from being more apparent; giving her advice, consolation, and encouragement.”
  ",Jane Austen
"
      “for when people are determined on a mode of conduct which they know to be wrong, they feel injured by the expectation of any thing better from them.”
  ",Jane Austen
"
      “To be so bent on Marriage - to pursue a man merely for the sake of situation - is a sort of thing that shocks me; I cannot understand it. Poverty is a great Evil, but to a woman of Education and feeling it ought not, it cannot be the greatest. I would rather be a teacher at a school (and I can think of nothing worse) than marry a man I did not like.”
  ",Jane Austen
"
      “The person, be it gentleman or lady, who has not please in a good novel, must be intolerably stupid.”
  ",Jane Austen
"
      “No lace. No lace, Mrs. Bennett, I beg you!”
  ",Jane Austen
"
      “The world had made him extravagant and vain - Extravagance and vanity had made him cold-hearted and selfish. Vanity, while seeking its own guilty triumph at the expense of another, had involved him in a real attachment, which extravagance, or at least its offspring, necessity, had required to be sacrificed. Each faulty propensity in leading him to evil, had led him likewise to punishment.”
  ",Jane Austen
"
      “Me pregunto quién sería el primero en descubrir la eficacia de la poesía para acabar con el amor. ―Yo siempre he considerado que la poesía es el alimento del amor ―dijo Darcy. ―De un gran amor, sólido y fuerte, puede. Todo nutre a lo que ya es fuerte de por sí. Pero si es solo una inclinación ligera, sin ninguna base, un buen soneto la acabaría matando de hambre.”
  ",Jane Austen
"
      “I am really not tired, which I almost wonder at; for we must have walked at least a mile in this wood. Do not you think we have? '",Jane Austen
"
      “This was a letter to be run through eagerly, to be read deliberately, to supply matter for much reflection, and to leave everything in greater suspense than ever.”
  ",Jane Austen
"
      “For what do we live, but to make sport for our neighbours, and laugh at them in our turn?”
  ",Jane Austen
"
      “The whole story would have been speedily formed under her active imagination; and every thing established in the most melancholy order of disastrous love”
  ",Jane Austen
"
      “At Christmas every body invites their friends and thinks little of even the worst weather.”
  ",Jane Austen
"
      “Well, well,"" said he, ""do not make yourself unhappy. If you are a good girl for the next ten years, I will take you to a review at the end of them.”
  ",Jane Austen
"
      “The colour which had been driven from her face, returned for half a minute with an additional glow, and a smile of delight added lustre to her eyes, as she thought for that space of time that his affection and wishes must still be unshaken. But she would not be secure"".”
  ",Jane Austen
"
      “But do not be cast down. Such squeamish youths as cannot bear to be connected with a little absurdity are not worth a regret”
  ",Jane Austen
"
      “Men never know when things are dirty or not; women will have their little nonsenses and needless cares.”
  ",Jane Austen
"
      “She wanted to be alone. Her mind was in a state of flutter and wonder, which made it impossible for her to be collected. She was in dancing, singing, exclaiming spirits; and till she had moved about, and talked to herself, and laughed and reflected, she could be fit for nothing rational.”
  ",Jane Austen
"
      “I was uncomfortable enough. I was very uncomfortable, I may say unhappy.”
  ",Jane Austen
"
      “For though a very few hours spent in the hard labour of incessant talking will dispatch more subjects than can really be in common between any two rational creatures, yet with lovers it is different. Between them no subject is finished, no communication is ever made, till it has been made at least twenty times over.”
  ",Jane Austen
"
      “sometimes I have kept my feelings to myself, because I could find no language to describe them in but what was worn and hackneyed out of all sense and meaning”
  ",Jane Austen
"
      “They found Mr. Bennet still up. With a book he was regardless of time;...”
  ",Jane Austen
"
      “You go to Brighton! -- I would not trust you so near it as East-Bourne, for fifty pounds! No, Kitty, I have at last learnt to be cautious, and you will feel the effects of it. No officer is ever to enter my house again, nor even to pass through the village. Balls will be absolutely prohibited, unless you stand up with one of your sisters. And you are never to stir out of doors till you can prove that you have spent ten minutes of every day in a rational manner.”
  ",Jane Austen
"
      “Not even Fanny had tears for aunt Norris, not even when she was gone for ever.”
  ",Jane Austen
"
      “Cu siguranta, nu-l ura. Nu, ura trecuse cu mult timp in urma si cam tot de atunci se nascuse senzatia de rusine pentru ca avusese fata de el un sentiment care s-ar fi putut numi astfel. Respetul fata de el, generat de credinta ca avea calitati de pret, desi cu greu acceptat la inceput, incetase de la un timp a-l mai considera in neconcordanta cu simtamintele ei, iar acum respectul acesta crescuse, se modificase, devenise un soi de prietenie, datorita marturiilor ce-i fusesera atat de favorabile si datorita luminii atat de bune in care se plasase in ziua aceea. [...] Il respecta, il stima, ii era recunoscatoare, ii dorea numai binele, ar fi vrut doar sa stie cat dorea el ca binele acela sa fie legat de ea si in ce masura ar fi fost spre fericirea amandurora sa-si foloseasca puterile, pe care-si imagina ca inca le mai are, pentru a-l face sa-si reinnoiasca cererea.”
  ",Jane Austen
"
      “These were reflections that required some time to soften; but time will do almost every thing…”
  ",Jane Austen
"
      “The boy protested that she should not; she continued to declare that she would, and the argument ended only with the visit.”
  ",Jane Austen
"
      “But there was happiness elsewhere which no description can reach.”
  ",Jane Austen
"
      “Do come now,"" said he..., ""pray come, you must come, I declare you shall come.”
  ",Jane Austen
"
      “From politics, it was an easy step to silence”
  ",Jane Austen
"
      “It's a truth universally acknowledged...”
  ",Jane Austen
"
      “But from fifteen to seventeen she was in training for a heroine; she read all such works as heroines must read to supply their memories with those quotations which are so serviceable and so soothing in the vicissitudes of their eventful lives.”
  ",Jane Austen
"
      “It raises my spleen more than any thing, to have the pretence of being asked, of being given a choice, and at the same time addressed in such a way as to oblige one to do the very thing - whatever it be!”
  ",Jane Austen
"
      “When the evening was over, Anne could not but be amused at the idea of her coming to Lyme, to preach patience and resignation to a young man whom she had never seen before; nor could she help fearing, on more serious reflection, that, like many other great moralists and preachers, she had been eloquent on a point in which her own conduct would ill bear examination.”
  ",Jane Austen
"
      “But indeed I did not wish you a pleasant walk; I never thought of such a thing; but I begged Mr. Thorpe so earnestly to stop; I called out to him as soon as ever I saw you; now, Mrs. Allen, did not—Oh! You were not there; but indeed I did; and, if Mr. Thorpe would only have stopped, I would have jumped out and run after you.""",Jane Austen
"
      “Non posso più ascoltare tacendo. Devo parlarvi con i mezzi che ho a disposizione. Voi mi trafiggete l'anima.Io sono tra l'agonia e la speranza. Non ditemi che è troppo tardi, che questo prezioso sentimento è svanito per sempre. Vi offro di nuovo il mio cuore, vi appartiene ancor più di quando otto anni e mezzo fa voi quasi me lo spezzaste. Non dite per carità che l'uomo dimentica più della donna, che il suo amore è più rapido a morire. Non ho mai amato nessuna all'infuori di voi. Posso essere stato ingiusto, forse debole e offeso, ma incostante mai. Solo voi mi avete condotto a Bath. Penso e faccio progetti solo per voi. Non ve ne siete accorta? Possibile che non indoviniate i miei desideri? Non avrei atteso neanche questi dieci giorni se avessi conosciuto i vostri sentimenti. Devo andare senza conoscere il mio destino ma tornerò qui o vi seguirò non appena possibile. Una parola, uno sguardo saranno sufficienti a farmi entrare in casa di vostro padre questa sera o mai più.”
  ",Jane Austen
"
      “If a book is well written i always find it too short”
  ",Jane Austen
"
      “man only can be aware of the insensibility of man towards a new gown. It would be mortifying to the feelings of many ladies, could they be made to understand how little the heart of man is affected by what is costly or new in their attire; how little it is biased by the texture of their muslin, and how unsusceptible of peculiar tenderness towards the spotted, the sprigged, the mull, or the jackonet. Woman is fine for her own satisfaction alone. No man will admire her the more, no woman will like her the better for it. Neatness and fashion are enough for the former, and a something of shabbiness or impropriety will be most endearing to the latter.”
  ",Jane Austen
"
      “a veces es malo ser tan reservada. Si una mujer disimula su afecto al objeto mismo, puede perder la oportunidad de conquistarle;”
  ",Jane Austen
"
      “Ah! what could we do but what we did! We sighed and fainted on the Sofa.”
  ",Jane Austen
"
      “She will never submit to any thing requiring industry and patience, and a subjection of the fancy to the understanding.”
  ",Jane Austen
"
      “...to say that he is unlike Fanny is enough. It implies everything amiable. I love him already.”
  ",Jane Austen
"
      “That will just do for me, you know. I shall be sure to say three dull things as soon as ever I open my mouth, shan't I?”
  ",Jane Austen
"
      “Wherever you are you should always be contented, but especially at home, because there you must spend the most of your time.”
  ",Jane Austen
"
      “Such I was, from eight to eight-and-twenty; and such I might still have been but for you, dearest, loveliest Elizabeth! What do I not owe you! You taught me a lesson, hard indeed at first, but most advantageous. By you, I was properly humbled. I came to you without a doubt of my reception. You showed me how insufficient were all my pretensions to please a woman worthy of being pleased.”
  ",Jane Austen
"
      “May we take my uncle's letter to read to her? Take whatever you like, and get away.”
  ",Jane Austen
"
      “Where pride and stupidity unite there can be no dissimulation worthy notice,”
  ",Jane Austen
"
      “Elizabeth was excessively disappointed...but it was her business to be satisfied — and certainly her temper to be happy; and all was soon right again.”
  ",Jane Austen
"
      “Fine dancing, I believe, like virtue, must be its own reward.”
  ",Jane Austen
"
      “God knows, I have been a very indifferent lover. But you understand me.”
  ",Jane Austen
"
      “Oh! if that is all, I have a very poor opinion of young men who live in Derbyshire; and their intimate friends who live in Hertfordshire are not much better. I am sick of them all. Thank Heaven! I am going tommorow where I shall find a man who has not one agreeable quality, who has neither manner nor sense to recommend him. Stupid men are the only ones worth knowing, after all.”
  ",Jane Austen
"
      “for though a very few hours spent in the hard labor of incessant talking will dispatch more subjects that can really be in common between two rational creatures, yet for the lovers is different. Between them no subject is finished; no communication is ever made, till it has been made at least twenty times over.”
  ",Jane Austen
"
      “...And if reading could banish the idea for even half an hour, it was something gained.”
  ",Jane Austen
"
      “And Elinor, in quitting Norland and Edward, cried not as I did. Even now her self-command is invariable. When is she dejected or melancholy? When does she try to avoid society, or appear restless and dissatisfied in it?”
  ",Jane Austen
"
      “Upon my word, Emma, to hear you abusing the reason you have, is almost enough to make me think so too. Better be without sense than misapply it as you do.”
  ",Jane Austen
"
      “Elizabeth found that nothing was beneath this great lady's attention, which could furnish her with an occasion of dictating to others.”
  ",Jane Austen
"
      “Nothing remains for me but to assure you in the most animated language of the violence of my affection.”
  ",Jane Austen
"
      “The stupidity with which he was favoured by nature must guard his courtship from any charm that could make a woman wish for its continuance.”
  ",Jane Austen
"
      “Nothing can be changed by changing the face,but everything can be changed by facing the change!!Just think about it.  ”
  ",Jane Austen
"
      “She was of course only too good for him; but as nobody minds having what is too good for them, he was very steadily earnest in the pursuit of the blessing, and it was not possible that encouragement from her should be long wanting.”
  ",Jane Austen
"
      “It will, I believe, be everywhere found, that as the clergy are, or are not, what they ought to be, so are the nation.”
  ",Jane Austen
"
      “My dear madam, I am not so ignorant of young ladies' ways as you wish to believe me; it is this delightful habit of journalizing which largely contributes to form the easy style of writing for which ladies are celebrated. Every body allows that the talent of writing agreeable letters is peculiarly female. Nature may have done something, but I am sure it must be essentially assisted by the practice of keeping a journal.”
  ",Jane Austen
"
      “My real purpose was to see you, and to judge, if I could, whether I might ever hope to make you love me.”
  ",Jane Austen
"
      “Elinor made no answer. Her thoughts were silently fixed on the irreparable injury which too early an independence and its consequent habits of idleness, dissipation, and luxury, had made in the mind, the character, the happiness, of a man who, to every advantage of person and talents, united a disposition naturally open and honest, and a feeling, affectionate temper. The world had made him extravagant and vain—Extravagance and vanity had made him cold-hearted and selfish. Vanity, while seeking its own guilty triumph at the expense of another, had involved him in a real attachment, which extravagance, or at least its offspring, necessity, had required to be sacrificed. Each faulty propensity in leading him to evil, had led him likewise to punishment. The attachment, from which against honour, against feeling, against every better interest he had outwardly torn himself, now, when no longer allowable, governed every thought; and the connection, for the sake of which he had, with little scruple, left her sister to misery, was likely to prove a source of unhappiness to himself of a far more incurable nature. From a reverie of this kind she was recalled at the end of some minutes by Willoughby, who, rousing himself from a reverie at least equally painful, started up in preparation for going, and said—”
  ",Jane Austen
"
      “I have observed...in the course of my life, that if things are going outwardly one month, they are sure to mend the next.”
  ",Jane Austen
"
      “But self, though it would intrude, could not engross her.”
  ",Jane Austen
"
      “The old gentleman died: his will was read, and like almost every other will, gave as much disappointment as pleasure. He was neither so unjust, nor so ungrateful, as to leave his estate from his nephew;—but he left it to him on such terms as destroyed half the value of the bequest. Mr. Dashwood had wished for it more for the sake of his wife and daughters than for himself or his son;—but to his son, and his son's son, a child of four years old, it was secured, in such a way, as to leave to himself no power of providing for those who were most dear to him, and who most needed a provision by any charge on the estate, or by any sale of its valuable woods. The whole was tied up for the benefit of this child, who, in occasional visits with his father and mother at Norland, had so far gained on the affections of his uncle, by such attractions as are by no means unusual in children of two or three years old; an imperfect articulation, an earnest desire of having his own way, many cunning tricks, and a great deal of noise, as to outweigh all the value of all the attention which, for years, he had received from his niece and her daughters. He meant not to be unkind, however, and, as a mark of his affection for the three girls, he left them a thousand pounds a-piece.”
  ",Jane Austen
"
      “What is his name?”
  ",Jane Austen
"
      “Ansiaba su estima cuando ya no podía esperar obtenerla; necesitaba oirlo cuando no parecía existir la menor probabilidad de avenencia; estaba convencida de que habría sido dichosa a su lado, cuando no era probable que se produjera un nuevo encuentro entre ambos.”
  ",Jane Austen
"
      “it is very worthwhile to be tormented for two or three years of one's life, for the sake of being able to read all the rest of it.”
  ",Jane Austen
"
      “If a woman doubts as to whether she should accept a man or not, she certainly ought to refuse him.”
  ",Jane Austen
"
      “A good looking girl, with an affectionate heart and a very ignorant mind, cannot fail of attracting a clever young man.”
  ",Jane Austen
"
      “To come with a well-informed mind is to come with an inability of administering to the vanity of others”
  ",Jane Austen
"
      “if one scheme of happiness fails, human nature turns to another; if the first calculation is wrong, we make a second better: we find comfort somewhere—and those evil-minded observers, dearest Mary, who make much of a little, are more taken in and deceived than the parties themselves.”
  ",Jane Austen
"
      “Where she feared most to fail, she was most sure of success, for those to whom she endeavored to give pleasure were prepossessed in her favor.”
  ",Jane Austen
"
      “How eloquent could Anne Elliot have been, - how eloquent, at least, were her wishes on the side of early warm attachment, and a cheerful confidence in futurity, against that over-anxious caution which seems to insult exertion and distrust Providence! - She had been forced into prudence in her youth, she learned romance as she grew older - the natural sequel of an unnatural beginning.”
  ",Jane Austen
"
      “Nor could she help feeling, on more serious reflection, that, like many other great moralists and preachers, she had been eloquent on a point in which her own conduct would ill bear examination.”
  ",Jane Austen
"
      “You might not see one in a hundred with",Jane Austen
"
      “For my part, I am determined never to speak of it again to anybody. I told my sister Phillips so the other day.”
  ",Jane Austen
"
      “... strange things may be generally accounted for if their cause be fairly seached out.”
  ",Jane Austen
"
      “In every power, of which taste is the foundation, excellence is pretty fairly divided between the sexes.”
  ",Jane Austen
"
      “...she ventured to recommend a larger allowance of prose in his daily study; and on being requested to particularise, mentioned such works by our best moralists, such collections of fine letters, such memoirs of characters of worth and suffering, as occurred to her at the moment as calculated to rouse and fortify the mind.”
  ",Jane Austen
